nuzero,omegazero,deltazero,nu,omega,delta,deltaomega,deltadelta,c,scarti
-14,-87.96459430,9.31,-684,-4297.698750,9.11,-4209.734156,-0.20,2.77130E+08,4.47327E+14
-16,-100.5309649,9.29,-811,-5095.663284,9.08,-4995.132319,-0.21,3.13174E+08,2.21846E+14
-20,-125.6637061,9.29,-739,-4643.273942,9.08,-4517.610236,-0.21,2.83236E+08,2.26327E+14
-17,-106.8141502,9.29,-860,-5403.539364,9.06,-5296.725214,-0.23,3.03206E+08,2.42690E+13
-19,-119.3805208,9.29,-867,-5447.521661,9.05,-5328.141140,-0.24,2.92296E+08,3.58058E+13
-17,-106.8141502,9.29,-841,-5284.158843,9.06,-5177.344693,-0.23,2.96372E+08,3.63845E+12
-16,-100.5309649,9.29,-865,-5434.955291,9.05,-5334.424326,-0.24,2.92641E+08,3.17995E+13
-15,-94.24777961,9.29,-856,-5378.406623,9.05,-5284.158843,-0.24,2.89883E+08,7.05031E+13
-19,-119.3805208,9.28,-839,-5271.592473,9.06,-5152.211952,-0.22,3.08340E+08,1.01202E+14
-15,-94.24777961,9.28,-892,-5604.601294,9.04,-5510.353514,-0.24,3.02292E+08,1.60976E+13
-13,-81.68140899,9.29,-840,-5277.875658,9.06,-5196.194249,-0.23,2.97451E+08,6.86322E+11
-23,-144.5132621,9.29,-844,-5303.008399,9.07,-5158.495137,-0.22,3.08716E+08,1.08909E+14
-13,-81.68140899,9.29,-874,-5491.503958,9.06,-5409.822549,-0.23,3.09680E+08,1.29972E+14
-21,-131.9468915,9.30,-889,-5585.751738,9.05,-5453.804847,-0.25,2.87222E+08,1.22271E+14
-16,-100.5309649,9.29,-885,-5560.618997,9.06,-5460.088032,-0.23,3.12558E+08,2.03859E+14
